School,Name,Review,Quality,Difficulty,gender,male_words,female_words,number of words,female words normalized
University of Toronto at Mississauga,Lee Bailey,Worst Prof to exist!!!! Has no practical knowledge and everything he teaches is abstract also doesnt care about his students. Avoid if possible this guy is terrible,1.0,5.0,0,2,1,27,0.037037037037037035
University of Toronto at Mississauga,Lee Bailey,"he doesn't teach. his lectures are useless, he confuses you every time.",2.0,5.0,0,0,0,12,0.0
University of Toronto at Mississauga,Lee Bailey,Taking Bailey is no joke. It's a lot of hard work and sitting in the eco help room. His i-clicker sessions will screw you. Everything on the exam is from class lectures and the worksheets given. Don't worry if you have low grades in micro as he makes macro much easier and he curves you up like mad in the finals. Prepares you for upper years well.,5.0,5.0,0,2,1,67,0.014925373134328358
University of Toronto at Mississauga,Lee Bailey,Thought you hated your life before a class with Bailey? You've got another thing coming. Very sad to see so many first years changing their career paths because of one prof. It's a shame UTM can't get rid of him.,1.0,5.0,0,0,2,40,0.05
University of Toronto at Mississauga,Lee Bailey,"Absolutely avoid this professor, don't torment yourself! First years who are in his lecture in ECO100: SWITCH TO A DIFFERENT PROF! Don't let him ruin your chance at POSt! The fact that he thinks that his teaching style works is mind-boggling... He throws everything at you and expects you to understand them and he doesn't know to explain anything.",1.0,5.0,0,0,1,59,0.01694915254237288
University of Toronto at Mississauga,Lee Bailey,"No matter how much you study, there is no way you can cover all the material he presents. Every lecture, he throws concept after concept at you without proper explanation, and expects you to regurgitate them all perfectly on test day. Also this course caused me not to get into commerce, despite straight As in all other courses. Would not rec",1.0,5.0,0,3,1,61,0.01639344262295082
University of Toronto at Mississauga,Lee Bailey,"Absolutely the most horrible professor in UTM. I've heard horror stories about him for ECO100 but I didn't want my opinion to be biased. So I went in with a positive attitude for ECO200. No support from him or the TA's, I actually feel bad for people who didn't get into commerce b/c of him. Imagine their whole life being different b/c of one prof",1.0,5.0,0,4,2,65,0.03076923076923077
University of Toronto at Mississauga,Lee Bailey,"had him for eco200. write down everything he SAYS and write down as much as you can on the board but what he says is more important. make study groups! because he posts no solutions at all for the past questions he gives u. dont waste so much time on the workbook, it takes so much of your time. focus more on lecture & tut questions.40% dropped",3.0,5.0,0,1,5,67,0.07462686567164178
University of Toronto at Mississauga,Lee Bailey,"Best Econ Prof at UTM. He's very smart, very respected and a genuinely inspiring great guy !!!",5.0,5.0,0,1,0,17,0.0
University of Toronto at Mississauga,Lee Bailey,"Charismatic, Caring, Kind, Compassionate and Intelligent.",5.0,5.0,0,0,0,6,0.0
University of Toronto at Mississauga,Lee Bailey,"Have little respect to students in his class, kicks out people in the middle of the lecture. The lecture itself is super fast-paced and he skips a lot of stuff that is going to be on his test. L for UTM.",1.0,5.0,0,0,2,41,0.04878048780487805
University of Toronto at Mississauga,Lee Bailey,"Attend all classes and tutorials and take clear notes, be sure to review and rewrite them afterwards. Tests are similar to problems done in-class and practice questions posted. Kinda warms up in upper years but still very much an arrogant elitist. 40% of the class dropped, but stick around till the end and you'll be rewarded with a sweet curve.",4.0,4.0,0,2,1,60,0.016666666666666666
University of Toronto at Mississauga,Lee Bailey,"After hearing a bulk of negativity, Prof Bailey isn't that bad after all. STUDY BEFORE THE CLASS! DO THE GIVEN WORKSHEETS. His tests are mostly math, just practice continuously and you'll be fine!",3.0,4.0,0,1,0,33,0.0
University of Toronto at Mississauga,Lee Bailey,"Let me cut straight to it. Im not a genius, but once I found the algorithm I had success. Heres a detailed guide: Get seats near the front of the class. Take notes on every thing he says, no matter how messy. Find a group of max 5 smart like-minded peers. GO TO TUTORIAL. Quizzes -> TEXTBOOK Tests-> ONLY LECTURE NOTES. DO ALL WORKSHTS",3.0,4.0,0,2,1,64,0.015625
University of Toronto at Mississauga,Lee Bailey,"Lee bailey is a prof who will make you work like a dog for good grades. Study your lecture notes and do the practice worksheets religiously. Don't waste your time reading the textbook, just skim it. Have a good understanding of algebra and with a good work ethic you'll be the 1 out of every 3rd person to finish his course.",2.0,4.0,0,0,0,61,0.0
University of Toronto at Mississauga,Lee Bailey,"Did horrible semester one, everything was fine after the exam. If youre getting 30s or 40s in the first few months, dont quit, start studying more. Micro is hard af, macro is better. Youll pass if you dont drop out of the course trust me, just study harder.",5.0,5.0,0,4,3,48,0.0625
University of Toronto at Mississauga,Lee Bailey,"Never studied economics before coming to university. Thanks to Professor Bailey, it is was my favourite course of the year. His lectures are extremely interesting! The recipe for success is simple: read chapter summary before lectures, do Econlab quizzes after lectures; when you finished the topic read the chapter and do all practice tests.",5.0,4.0,0,0,0,54,0.0
